,Decoding Accuracy
0,0.5310734463276836
1,0.5655367231638418
2,0.5115819209039548
3,0.4059322033898305
4,0.5358757062146893
5,0.5638418079096045
6,0.5186440677966102
7,0.3864406779661017
8,0.4457627118644068
9,0.49745762711864405
10,0.48615819209039546
11,0.5036723163841808
12,0.4370056497175141
13,0.4689265536723164
14,0.5533898305084746
15,0.46299435028248587
16,0.5228813559322034
17,0.5409604519774012
18,0.5073446327683616
19,0.4824858757062147
20,0.511864406779661
21,0.4483050847457627
22,0.5903954802259888
23,0.4759887005649718
24,0.40790960451977404
25,0.4694915254237288
26,0.5110169491525424
27,0.4307909604519774
28,0.469774011299435
29,0.47062146892655365
30,0.5353107344632768
31,0.4915254237288136
32,0.5107344632768361
33,0.48389830508474574
34,0.5186440677966102
35,0.4957627118644068
36,0.5050847457627119
37,0.4542372881355932
38,0.5276836158192091
39,0.4971751412429379
40,0.48615819209039546
41,0.5573446327683615
42,0.49519774011299433
43,0.5194915254237288
44,0.5112994350282486
45,0.5107344632768361
46,0.47796610169491527
47,0.5098870056497176
48,0.4937853107344633
49,0.5059322033898305
50,0.48333333333333334
51,0.4423728813559322
52,0.542090395480226
53,0.5002824858757062
54,0.5107344632768361
55,0.5081920903954802
56,0.5929378531073446
57,0.47401129943502823
58,0.518361581920904
59,0.5161016949152543
60,0.5423728813559322
61,0.5257062146892655
62,0.4548022598870056
63,0.5056497175141242
64,0.48983050847457626
65,0.49519774011299433
66,0.3519774011299435
67,0.5805084745762712
68,0.46807909604519776
69,0.5296610169491526
70,0.5045197740112994
71,0.4887005649717514
72,0.5155367231638418
73,0.4971751412429379
74,0.42598870056497173
75,0.4774011299435028
76,0.4457627118644068
77,0.5214689265536723
78,0.5127118644067796
79,0.5135593220338983
80,0.4878531073446328
81,0.42033898305084744
82,0.469774011299435
83,0.5330508474576271
84,0.5285310734463277
85,0.44943502824858755
86,0.534180790960452
87,0.5146892655367231
88,0.4731638418079096
89,0.4850282485875706
90,0.4810734463276836
91,0.4672316384180791
92,0.5954802259887005
93,0.522316384180791
94,0.5259887005649717
95,0.4765536723163842
96,0.4228813559322034
97,0.581638418079096
98,0.5745762711864407
99,0.4887005649717514
